transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T01321,U046,2022-02-01,expense,asvings,241.0,UPI,,Paid electricity bill
T06329,U096,2021-03-11,expense,food,680.0,Bank Transfer,Chennai,Doctor visit via app
T12690,U138,2021-01-13,expense,,380.0,UPI,Jaipur,Monthly rent via app
T14439,U141,2021-03-27,expense,food,197.0,UPI,Mumbai,Monthly rent
T12969,U178,2022-07-19,income,other income,40626.0,Cash,Lucknow,Monthly rent
T02574,U071,2020-01-12,expense,rent,177.0,Card,Lucknow,Doctor visit
T08160,U021,2019-06-20,expense,travel,237.0,UPI,Jaipur,Uber to office
T04675,U114,2019-06-10,income,bonus,60588.0,Bank Transfer,mumbai,
T00276,U096,2022-02-14,income,bonus,31477.0,Cash,Ahmedabad,Dinner at resto late
T14016,U007,2020-07-27,expense,food,438.0,Card,Mumbai,Salary via app
T12897,U056,2022-06-25,expense,utilities,781.0,Cash,Hyderabad,s2w5I0uFobe0
T11381,U027,2022-08-26,expense,travel,90.0,Cash,Chennai,Grocery shopping via app
T06826,U043,2022-03-08,expense,food,132.0,Cash,Bengaluru,Grocery shopping via app
T02569,U185,2020-06-23,expense,food,962.0,UPI,Mumbai,Doctor visit
T02144,U190,2019-03-14,expense,rent,65.0,Cash,Ahmedabad,Salary
T08580,U130,2021-06-27,income,other income,65829.0,Bank Transfer,Kolkata,Dinner at resto
T06340,U143,2021-12-16,expense,travel,555.0,UPI,bengaluru,Salary
T01062,U039,2022-01-12,expense,rent,2279.0,Card,Jaipur,Gift
T11766,U118,2019-09-17,expense,education,2923.0,UPI,Delhi,Doctor visit late
T14150,U100,2020-03-23,expense,food,973.0,Cash,Mumbai,Gift via app
T00411,U099,2019-07-16,expense,utilities,4400.0,UPI,Pune,Doctor visit
T06833,U038,2020-09-24,expense,food,293.0,Cash,Hyderabad,Gift
T03936,U016,2021-05-16,expense,food,546.0,Cash,Chennai,Gift
T12569,U174,2022-09-05,income,bonus,68376.0,Bank Transfer,Kolkata,Netflix subscription
T11798,U131,2021-05-31,expense,food,116.0,Cash,,v8OInj8e
T12798,U003,2019-05-19,income,other income,69726.0,BankT ransfer,Mumbai,Monthly rent cash
T04476,U047,2022-09-04,expense,rent,888.0,Card,bengaluru,Dinner at resto via app
T08296,U115,2020-06-12,expense,savngs,144.0,Card,Delhi,Paid electricity bill
T14486,U111,2022-08-10,expense,rent,3828.0,Cash,pune,Doctor visit late
T08036,U079,2020-07-06,expense,entertainment,202.0,UPI,Hyderabad,Monthly rent
T13345,U145,2020-10-05,expense,food,269.0,Card,Bengaluru,Gift
T08936,U024,2022-01-17,expense,rent,202.0,UPI,Pune,Course fee
T09579,U055,2022-03-30,expense,travel,839.0,Card,,Course fee
T14579,U078,2019-12-05,expense,others,3903.0,Card,,Gift
T08811,U103,2019-04-01,income,bonus,69445.0,UPI,Pune,Paid electricity bill
T14096,U121,2020-12-30,expense,food,2799.0,Bank Transfer,Ahmedabad,Doctor visit via app
T11765,U091,2022-10-25,expense,rent,741.0,Bank Transfer,Pune,Gift
T05137,U169,2020-05-18,expense,rent,395.0,Card,Jaipur,Course fee
T09260,U027,2020-07-03,expense,food,785.0,Cash,Mumbai,Paid electricity bill
T14093,U059,2019-07-26,expense,rent,999999.0,Card,Ahmedabad,Monthly rent
T09418,U060,2020-04-06,expense,utilities,583.0,Card,Pune,Course fee
T07981,U162,2022-04-06,expense,rent,1533.0,Card,bengaluru,Monthly rent
T11398,U062,2022-06-01,expense,utilities,349.0,Bank Transfer,Hyderabad,Salary
T08153,U011,2020-10-14,expense,food,126.0,UPI,Hyderabad,Dinner at resto 
T08564,U060,2021-06-14,expense,entertainment,122.0,Card,Mumbai,Netflix subscription late
T14141,U117,2019-10-08,expense,savings,364.0,Card,Chennai,Gift
T04247,U182,2022-05-19,income,bonus,55640.0,Card,Chennai,Salary
T03398,U132,2021-11-27,income,bonus,59176.0,Bank Transfer,Kolkata,qU4FPOJp4Szqe6JTH
T00247,U161,2022-06-02,expense,rent,320.0,,Lucknow,Course fee
T00731,U104,2020-08-07,expense,food,2933.0,UPI,Chennai,
T09564,U112,2020-10-01,expense,fod,346.0,Cash,Delhi,Uber to office
T04864,U123,2020-07-25,expense,food,18.0,Bank Transfer,Delhi,Dinner at resto
T02763,U068,2021-09-26,expense,rent,96.0,UPI,jaipur,Dinner at resto
T08960,U091,2020-12-16,income,other income,42115.0,Card,Hyderabad,Doctor visit
T10468,U159,2021-08-26,expense,food,125.0,UPI,delhi,Gift late
T04520,U127,2019-11-26,income,bonus,57350.0,Card,Pune,Xqqy7QcK9sPSi11
T12754,U147,2022-09-21,expense,food,64.0,Cash,Bengaluru,Salary
T06534,U190,2022-08-01,expense,rent,459.0,,Chennai,Course fee
T12239,U043,2022-03-22,income,salary,50893.0,UPI,Jaipur,Grocery shopping 
T09825,U079,2019-01-11,expense,education,3182.0,Cash,Jaipur,Netflix subscription 
T01359,U142,2020-12-09,income,bonus,69010.0,Bank Transfer,Chennai,Netflix subscription
T07672,U061,2020-01-17,expense,utiltiies,6265.0,UPI,Delhi,Uber to office
T02048,U011,2019-12-16,expense,rent,866.0,Bank Transfer,Delhi,Gift 
T03874,U100,2021-09-26,expense,food,797.0,Card,Hyderabad,Monthly rent via app
T01514,U126,2019-03-10,income,toher income,72011.0,,Mumbai,Paid electricity bill via app
T12003,U073,2021-04-07,expense,food,158.0,,Lucknow,Dinner at resto
T09527,U017,2019-02-20,expense,food,127.0,Cash,Bengaluru,Course fee
T04077,U065,2019-01-14,expense,entertainment,1794.0,Card,Lucknow,Doctor visit
T01060,U134,2022-03-06,expense,food,1755.0,Bank Transfer,chennai,Doctor visit
T10548,U062,2022-11-03,expense,food,1914.0,Card,Pune,Monthly rent
T08163,U057,2020-04-03,expense,travel,413.0,Cash,Kolkata,Course fee 
T05655,U052,2021-06-13,expense,food,310.0,UPI,Kolkata,Doctor visit
T11081,U099,2021-07-02,expense,food,1786.0,Card,Delhi,Paid electricity bill
T00698,U091,2019-01-13,expense,travel,194.0,,Mumbai,Uber to office
T05522,U155,2019-10-18,expense,utilities,372.0,Cash,Mumbai,
T11429,U171,2020-03-21,expense,travel,1337.0,ash,Ahmedabad,
T03692,U101,2021-11-13,income,bonus,51764.0,Bank Transfer,kolkata,Doctor visit
T03357,U150,2021-08-29,expense,fodo,160.0,Cash,Mumbai,
T05981,U175,2021-12-08,expense,entertainment,3479.0,UPI,Ahmedabad,Netflix subscription via app
T14806,U147,2022-12-14,expense,food,369.0,UPI,Delhi,MZzqkp69hRtxLBPDO
T05462,U056,2021-01-14,income,salary,54333.0,Card,Kolkata,3aoIXPm7mwleFUf
T08460,U190,2020-07-12,expense,rent,599.0,Cash,Mumbai,Grocery shopping
T12099,U184,2021-09-21,expense,food,1287.0,,Ahmedabad,Doctor visit late
T07259,U012,2022-02-26,expense,food,67.0,Cash,lucknow,Gift 
T06811,U165,2021-08-15,expense,food,153.0,Card,Ahmedabad,Doctor visit
T09381,U114,2022-06-06,expense,food,132.0,UPI,Delhi,Salary
T10527,U073,2020-04-22,expense,rent,854.0,Bank Transfer,Hyderabad,iz1WKeV7B
T06649,U074,2021-09-09,expense,others,82.0,Cash,Chennai,Gift
T08762,U138,2020-06-18,expense,travel,2714.0,UPI,Kolkata,Netflix subscription
T11149,U011,2020-05-08,income,bonus,45790.0,Bank Transfer,Bengaluru,Paid electricity bill 
T05259,U074,2019-08-24,expense,rent,286.0,Card,Bengaluru,Gift 
T03709,U035,2022-02-28,expense,utilities,377.0,Bank Transfer,Delhi,Grocery shopping
T11489,U023,2021-12-01,expense,utilities,228.0,Bank Transfer,Chennai,Uber to office 
T06470,U026,2022-07-04,expense,utilities,525.0,Bank Transfer,Pune,Grocery shopping
T11607,U045,2022-10-22,expense,others,503.0,UPI,Chennai,Gift
T06922,U126,2020-05-08,expense,food,39.0,Cash,Ahmedabad,
T01449,U121,2019-04-23,income,other income,43755.0,UPI,Bengaluru,Salary 
T08461,U159,2019-07-04,expense,entertainment,383.0,Bank Transfer,Hyderabad,Dinner at resto
T03951,U035,2019-08-26,expense,food,116.0,UPI,Jaipur,Gift
T09096,U001,2022-01-08,income,other income,71407.0,UPI,Jaipur,Salary late
T05767,U117,2019-03-09,expense,entertainment,398.0,Cash,mumbai,Gift
T04544,U153,2019-02-10,expense,travel,156.0,Card,Mumbai,Grocery shopping 
T13077,U183,2020-06-06,expense,,115.0,UPI,Pune,Uber to office cash
T04611,U089,2022-01-28,expense,entertainment,812.0,Bank Transfer,Bengaluru,Gift
T02837,U080,2022-02-21,expense,food,263.0,UPI,Pune,Dinner at resto
T05068,U192,2020-05-17,expense,utilities,562.0,Card,Mumbai,Netflix subscription via app
T07860,U190,2020-05-10,expense,reent,1084.0,Card,Jaipur,Netflix subscription via app
T14753,U188,2019-12-01,expense,rent,858.0,,Hyderabad,Paid electricity bill late
T03298,U082,2021-12-04,expense,food,1779.0,UPI,Delhi,Paid electricity bill cash
T13940,U033,2022-04-22,expense,rent,1294.0,Cash,jaipur,Grocery shopping
T06938,U181,2021-05-15,expense,food,50.0,Bank Transfer,,Grocery shopping
T04509,U169,2020-06-06,expense,rent,384.0,Bank Transfer,Lucknow,Salary via app
T13876,U142,2022-02-20,income,salary,45403.0,Card,lucknow,Doctor visit
T05741,U154,2020-10-20,expense,rent,50.0,Card,Hyderabad,Grocery shopping
T05359,U132,2022-08-30,expense,,336.0,Bank Transfer,Chennai,Doctor visit cash
T01898,U024,2019-10-08,expense,food,623.0,Cash,,aeDKRcPdyZ7zubOxKrB
T02895,U115,2020-01-05,expense,rent,426.0,Bank Transfer,Ahmedabad,Uber to office
T08956,U068,2019-10-21,expense,travel,2386.0,Bank Transfer,Mumbai,Netflix subscription cash
T01804,U101,2021-05-18,expense,food,77.0,Cash,Bengaluru,Salary via app
T03201,U044,2020-02-18,expense,entertainment,476.0,Cash,Pune,Paid electricity bill
T12142,U020,2019-08-18,expense,food,424.0,Card,Pune,Monthly rent
T10851,U123,2020-01-17,expense,rent,1107.0,UPI,Ahmedabad,
T03636,U107,2019-03-03,expense,food,564.0,Bank Transfer,,Dinner at resto cash
T14787,U103,2020-07-23,expense,food,357.0,Cash,Delhi,Paid electricity bill
T05918,U128,2020-11-17,expense,food,1148.0,Cash,Ahmedabad,Monthly rent
T08936,U123,2020-03-26,income,bonus,60263.0,Bank Transfer,Lucknow,Dinner at resto
T02790,U162,2020-08-22,expense,entertainment,532.0,UPI,Ahmedabad,Monthly rent
T07112,U176,2020-10-21,expense,others,1849.0,Card,Jaipur,Dinner at resto 
T12282,U128,2019-04-09,expense,rent,601.0,UPI,ahmedabad,Dinner at resto
T09133,U181,2020-02-22,expense,rent,298.0,Bank Transfer,Hyderabad,Paid electricity bill
T02433,U168,2019-02-16,expense,travel,1398.0,Card,Lucknow,Netflix subscription
T04501,U001,2021-09-15,expense,rent,1017.0,Cash,Jaipur,Netflix subscription
T08880,U017,2022-06-07,income,bonus,62771.0,Bank Transfer,Bengaluru,Dinner at resto
T09991,U188,2022-10-14,expense,entertainment,771.0,Card,Delhi,Monthly rent cash
T00869,U054,2020-03-10,expense,ravel,121.0,Cash,Bengaluru,Gift late
T00459,U044,2022-10-29,expense,food,193.0,Card,Hyderabad,Uber to office
T01181,U024,2022-03-06,expense,savings,908.0,UPI,Delhi,Course fee
T11192,U003,2022-12-29,expense,rent,45.0,Card,Kolkata,Salary via app
T05258,U064,2020-09-25,income,other income,78234.0,UPI,Delhi,Doctor visit
T11925,U026,2019-01-21,expense,savings,425.0,Bank Transfer,Bengaluru,Salary
T01779,U041,2021-09-01,expense,rent,1428.0,Bank Transfer,Mumbai,Monthly rent
T11690,U114,2021-02-25,expense,rent,2131.0,Cash,Kolkata,Uber to office
T10561,U006,2021-08-15,expense,entertainment,63.0,Cash,Ahmedabad,Uber to office
T08582,U134,2021-07-02,expense,savings,122.0,Cash,Delhi,Salary
T14101,U125,2021-02-11,income,,23965.0,Cash,Pune,Monthly rent late
T08733,U101,2022-08-05,expense,travel,185.0,UPI,Pune,
T05277,U135,2022-11-01,income,other income,59559.0,Cash,Hyderabad,Salary late
T08374,U033,2021-12-10,expense,entertainment,349.0,Card,Mumbai,Dinner at resto cash
T12850,U067,2019-12-15,expense,travel,33.0,Bank Transfer,Kolkata,9qdfmmq0h77
T10551,U172,2020-11-06,income,bonus,73794.0,Cash,Lucknow,Course fee
T00516,U043,2020-02-26,expense,rent,109.0,Card,Hyderabad,Doctor visit
T08864,U184,2019-11-14,expense,ravel,1295.0,UPI,Ahmedabad,Uber to office cash
T12715,U038,2021-03-06,expense,food,2469.0,Bank Transfer,,Uber to office
T03529,U101,2020-03-04,expense,rent,673.0,Bank Transfer,Bengaluru,Course fee
T05998,U072,2021-12-08,income,other income,54180.0,Cash,,Gift
T04151,U011,2022-01-07,expense,entertainment,170.0,Card,Jaipur,Salary late
T14638,U002,2020-09-05,expense,entertainment,269.0,Bank Transfer,Pune,Doctor visit
